Student_Type,Sleep_Hours,Study_Hours,Social_Media_Hours,Attendance,Exam_Pressure,Family_Support,Month,Stress_Level,,,,,,,,,,,,,,,,
school,7.91684887,3.775712574,4.34218915,66.11477947,2,9,5,0,,,,,,,,,,,,,,,,
working_student,3.58366929,12.73467607,1.435902954,81.09480307,5,7,6,0,,,,,,,,,,,,,,,,
college,3.808614814,7.376977802,0.228091095,76.13272271,6,7,3,1,,,,,,,,,,,,,,,,
college,4.584142634,7.571125942,3.123457571,97.85295036,7,2,6,1,,,,,,,,,,,,,,,,
school,7.196329076,2.249856318,3.670838576,94.25351545,5,4,5,0,,,,,,,,,,,,,,,,
college,6.59,4.7,2.03,88.59,4,9,8,0,,,,,,,,,,,,,,,,
college,8.022098905,2.828619516,2.732814964,76.1196648,7,9,4,1,,,,,,,,,,,,,,,,
college,8.136933662,4.322662269,7.648340555,81.943,5,6,9,0,,,,,,,,,,,,,,,,
Other,8.214587637,2.418022496,0.841264165,97.39762132,4,7,11,0,,,,,,,,,,,,,,,,
school,6.458930766,2.268522253,2.542532671,96.46364813,4,8,3,0,,,,,,,,,,,,,,,,
working_student,6.613329281,7.812940899,3.576604915,75.62576517,6,5,12,1,,,,,,,,,,,,,,,,
college,4.787207241,2.786959976,7.697649606,88.9611274,7,5,5,1,,,,,,,,,,,,,,,,
school,7.99328896,2.807907889,2.370358128,88.94231704,7,10,1,0,,,,,,,,,,,,,,,,
school,6.762435289,4.661599725,7.478754976,84.08996784,7,9,3,0,,,,,,,,,,,,,,,,
working_student,5.034436215,3.157977491,3.833672495,98.1656409,5,5,11,0,,,,,,,,,,,,,,,,
college,6.458930766,5.812369241,1.24836479,75.74836038,2,5,6,0,,,,,,,,,,,,,,,,
working_student,6.46,4.7,1.12,81.94,6,2,4,0,,,,,,,,,,,,,,,,
college,6.458930766,7.040955512,0.622725968,83.52528358,7,5,4,1,,,,,,,,,,,,,,,,
college,6.923034408,6.03379311,3.097316333,86.33152105,5,9,4,0,,,,,,,,,,,,,,,,
school,6.916518984,1.684073434,2.92319946,83.00397062,6,5,7,0,,,,,,,,,,,,,,,,
school,6.458930766,2.653754201,6.936867088,72.68948459,6,7,8,0,,,,,,,,,,,,,,,,
college,5.794824114,3.951586504,1.005387054,74.85614073,6,8,7,0,,,,,,,,,,,,,,,,
college,7.452269475,8.521418166,3.85284469,120,7,2,12,1,,,,,,,,,,,,,,,,
college,7.267072733,4.318970153,1.86084631,80.6349868,3,6,4,0,,,,,,,,,,,,,,,,
college,6.16532976,3.720813681,1.988844507,78.78851274,7,6,6,1,,,,,,,,,,,,,,,,
college,5.286803325,3.500511742,1.394113572,88.66971115,2,8,4,0,,,,,,,,,,,,,,,,
working_student,3.918034719,6.353040026,5.667710442,71.32840181,3,5,11,0,,,,,,,,,,,,,,,,
college,5.863802334,3.969278591,3.55563,96.32771097,8,4,9,0,,,,,,,,,,,,,,,,
college,9.326930377,6.74227525,2.070019718,62.89678005,9,2,8,1,,,,,,,,,,,,,,,,
college,4.487557677,6.730475509,1.940146739,60.28881036,10,3,6,1,,,,,,,,,,,,,,,,
school,7.741546703,0.208720583,2.730235254,92.17313454,4,6,8,0,,,,,,,,,,,,,,,,
working_student,2.957895076,9.120344522,2.672346832,79.05586163,4,6,1,1,,,,,,,,,,,,,,,,
school,7.356961794,2.689675186,4.519805663,81.943,5,4,6,0,,,,,,,,,,,,,,,,
working_student,5.33,4.7,3.33,77.12,4,4,12,0,,,,,,,,,,,,,,,,
working_student,4.621599928,9.393984347,8.030430368,73.05182346,1,2,7,1,,,,,,,,,,,,,,,,
college,7.210065696,4.355791784,3.55563,62.1399952,7,9,12,1,,,,,,,,,,,,,,,,
working_student,6.094313778,7.093382016,3.929836574,98.64610962,8,6,7,0,,,,,,,,,,,,,,,,
college,6.689468873,7.941273143,5.232635403,86.72780372,8,4,8,1,,,,,,,,,,,,,,,,
college,3.195438469,1.008523068,6.025468947,95.13277124,9,6,6,1,,,,,,,,,,,,,,,,
college,5.568579333,1.824655752,2.988371223,72.37376327,1,6,8,0,,,,,,,,,,,,,,,,
college,6.24724382,3.218709463,4.850424861,69.93870999,8,8,4,1,,,,,,,,,,,,,,,,
college,6.948913645,5.718001765,0.048292145,82.46486331,5,10,7,0,,,,,,,,,,,,,,,,
school,6.739091505,3.419716183,3.55563,90.24934259,6,6,3,0,,,,,,,,,,,,,,,,
school,7.561569196,3.066575629,7.20910243,64.67004776,5,2,5,0,,,,,,,,,,,,,,,,
school,9.012897332,1.920781136,3.935966195,60.84171696,8,3,3,0,,,,,,,,,,,,,,,,
college,6.675937975,2.999319981,2.211594969,89.41987505,4,8,4,0,,,,,,,,,,,,,,,,
college,6.80624917,5.287424924,3.462391499,50.16354622,2,3,6,0,,,,,,,,,,,,,,,,
school,7.294836812,2.751204727,0.639549977,85.30355983,6,4,7,1,,,,,,,,,,,,,,,,
college,5.701107925,1.764458787,3.501710315,74.61316644,1,7,4,0,,,,,,,,,,,,,,,,
college,3.671782399,5.874043223,0.082936539,87.51016666,4,6,1,0,,,,,,,,,,,,,,,,
college,5.85,4.7,4.75,97.07,6,6,4,0,,,,,,,,,,,,,,,,
college,4.557757074,5.08064973,2.253875875,92.63611225,5,2,7,0,,,,,,,,,,,,,,,,
working_student,6.206866366,9.878160719,0.936663007,76.62141658,4,5,1,0,,,,,,,,,,,,,,,,
college,6.356904579,5.68486151,6.388111755,69.9179786,1,9,4,0,,,,,,,,,,,,,,,,
college,5.588038883,4.980127748,4.286306097,80.11032916,6,4,10,1,,,,,,,,,,,,,,,,
college,5.864300746,5.989231449,0.013107373,66.47328336,5,6,3,0,,,,,,,,,,,,,,,,
Other,5.663591305,7.202326548,1.007840914,86.45257565,4,6,2,1,,,,,,,,,,,,,,,,
college,8.093953101,8.058314729,0.768372465,66.99580509,8,3,6,1,,,,,,,,,,,,,,,,
college,6.098192823,6.328215299,2.77058683,77.52524033,5,6,2,1,,,,,,,,,,,,,,,,
school,7.369743332,4.213046897,5.487352981,77.52832267,7,5,10,1,,,,,,,,,,,,,,,,
college,8.129399523,8.204664572,6.611395932,81.80568712,7,2,12,1,,,,,,,,,,,,,,,,
college,5.048291699,0.804635903,6.646353531,87.17020925,4,7,2,0,,,,,,,,,,,,,,,,
college,6.130724683,3.563166778,5.814905333,61.60910697,6,9,9,0,,,,,,,,,,,,,,,,
college,6.427201213,1.991886889,5.350660202,98.41411026,3,10,2,0,,,,,,,,,,,,,,,,
working_student,4.56,4.7,3.54,91.99,7,9,6,0,,,,,,,,,,,,,,,,
school,8.064402434,2.720057564,3.494177891,72.42823688,3,8,1,0,,,,,,,,,,,,,,,,
working_student,3.78301185,5.968618909,1.765564682,79.36009982,6,4,2,1,,,,,,,,,,,,,,,,
working_student,4.874874473,6.005936191,3.678299476,83.16885059,7,5,12,0,,,,,,,,,,,,,,,,
working_student,9.501851095,6.267147106,7.360787973,91.96509978,6,7,1,1,,,,,,,,,,,,,,,,
college,5.737957194,6.884267315,3.655568684,95.22731832,5,7,12,1,,,,,,,,,,,,,,,,
school,7.62,4.7,6.93,97.56,2,8,2,0,,,,,,,,,,,,,,,,
Other,5.776656945,3.563108696,2.619870862,70.98413281,2,5,12,0,,,,,,,,,,,,,,,,
college,5.879468122,10.26957271,3.155584514,61.85927149,6,8,7,0,,,,,,,,,,,,,,,,
school,6.451642747,5.548820424,4.83378065,81.81729008,3,6,6,0,,,,,,,,,,,,,,,,
college,6.660490674,4.826476922,0.955867178,84.45316269,6,4,11,0,,,,,,,,,,,,,,,,
college,7.058425474,2.399010496,2.262803771,69.78515503,5,8,8,0,,,,,,,,,,,,,,,,
working_student,5.597492577,5.834896504,7.193260846,58.05369964,4,2,8,0,,,,,,,,,,,,,,,,
school,7.457865954,2.628574499,5.024819633,98.79015096,8,9,8,0,,,,,,,,,,,,,,,,
college,4.751156897,3.726338113,1.035964482,81.13498414,8,7,2,0,,,,,,,,,,,,,,,,
college,4.224766775,2.649347496,3.55563,67.45613914,8,5,11,1,,,,,,,,,,,,,,,,
college,5.871135777,5.99238914,6.117099436,72.49416392,6,5,7,1,,,,,,,,,,,,,,,,
school,7.511941635,3.215136472,2.894645684,82.83450678,5,8,1,0,,,,,,,,,,,,,,,,
college,9.516139171,6.539596142,3.55563,96.91837036,5,5,12,0,,,,,,,,,,,,,,,,
college,5.669867608,6.415850336,2.321934132,49.01431454,5,8,12,0,,,,,,,,,,,,,,,,
working_student,7.46,4.7,4.21,85.41,6,6,1,1,,,,,,,,,,,,,,,,
college,8.705916287,7.255193161,2.978960187,75.26515394,9,6,2,1,,,,,,,,,,,,,,,,
college,6.458930766,6.855906959,5.216955798,71.33670375,7,7,6,1,,,,,,,,,,,,,,,,
college,7.997997832,3.836737247,4.033943346,84.73179638,2,4,1,0,,,,,,,,,,,,,,,,
working_student,5.819890505,2.515646804,2.38278695,77.17400125,2,10,12,0,,,,,,,,,,,,,,,,
school,8.511138826,4.62476575,4.965940197,81.80274099,5,7,9,0,,,,,,,,,,,,,,,,
college,6.49427033,2.64409909,2.997187618,81.943,7,6,6,1,,,,,,,,,,,,,,,,
school,8.721053061,5.463584252,3.668529133,92.0606598,5,4,10,0,,,,,,,,,,,,,,,,
college,6.459892083,3.699551936,2.401004164,96.53042594,8,1,2,0,,,,,,,,,,,,,,,,
school,6.596635746,4.13759937,1.449945111,81.60795877,6,10,8,0,,,,,,,,,,,,,,,,
Other,9.442105763,3.503115616,3.032820535,93.72379369,5,6,3,0,,,,,,,,,,,,,,,,
working_student,9.397469213,9.831891195,5.692316126,66.42692456,9,7,8,1,,,,,,,,,,,,,,,,
working_student,6.309831829,5.897976142,3.675811615,66.10975577,7,4,9,0,,,,,,,,,,,,,,,,
college,8.452774855,4.877620322,1.36001206,95.90762158,9,6,5,0,,,,,,,,,,,,,,,,
working_student,6.879923402,11.03254626,3.120559195,79.96617192,4,9,2,0,,,,,,,,,,,,,,,,
college,5.683182684,2.510763441,2.877118901,67.11857179,2,9,3,0,,,,,,,,,,,,,,,,
college,6.92,4.7,2.75,97.47,5,5,10,0,,,,,,,,,,,,,,,,
school,8.125194178,3.508679773,1.947919624,96.91738034,5,9,9,0,,,,,,,,,,,,,,,,
school,8.783145095,2.299345059,5.330962114,77.1547322,4,4,2,0,,,,,,,,,,,,,,,,
college,9.114419386,4.756623554,4.379516059,81.943,5,5,5,0,,,,,,,,,,,,,,,,
Other,6.948038792,4.954152473,5.676569554,87.5959732,5,8,3,0,,,,,,,,,,,,,,,,
college,3.218765468,1.072364155,2.11048829,75.84010904,3,6,7,0,,,,,,,,,,,,,,,,
college,5.16209488,5.574389603,5.792053221,97.35451956,6,8,6,0,,,,,,,,,,,,,,,,
college,5.719542284,4.688702002,3.070682678,90.36871295,4,6,6,0,,,,,,,,,,,,,,,,
school,7.495336191,0.246475887,0.299281002,97.12309757,6,5,2,0,,,,,,,,,,,,,,,,
school,7.98384826,1.915909264,1.384074039,88.31004501,7,8,12,0,,,,,,,,,,,,,,,,
college,7.70998298,4.808737996,1.932792524,84.09056373,7,3,5,0,,,,,,,,,,,,,,,,
college,6.46,4.7,3.56,68.95,1,7,2,0,,,,,,,,,,,,,,,,
college,7.272004755,5.046444103,3.302320294,120,5,8,2,0,,,,,,,,,,,,,,,,
school,8.359161604,3.134845476,5.101058032,86.44370773,6,7,6,0,,,,,,,,,,,,,,,,
school,6.94063962,0.772635231,5.367130402,53.80634065,8,9,11,0,,,,,,,,,,,,,,,,
school,6.476114048,4.029834149,3.55563,81.943,9,9,3,1,,,,,,,,,,,,,,,,
college,6.156971062,5.371342184,0.640468897,75.43256604,4,3,11,0,,,,,,,,,,,,,,,,
working_student,6.460569118,4.304127601,5.905933249,85.50192348,8,8,5,0,,,,,,,,,,,,,,,,
school,7.120376453,2.647472459,5.640889262,67.07857932,5,6,1,0,,,,,,,,,,,,,,,,
college,2.492412806,4.89848552,7.452586048,81.65548728,5,2,9,1,,,,,,,,,,,,,,,,
college,6.688565297,2.248643842,3.804583129,77.29570584,3,6,6,0,,,,,,,,,,,,,,,,
college,6.073014321,5.109366527,3.55563,67.03119283,7,7,11,0,,,,,,,,,,,,,,,,
college,6.196043706,4.735854968,0.373173055,68.94677653,8,6,11,1,,,,,,,,,,,,,,,,
college,5.786028894,6.527113427,4.098790386,73.04175924,9,9,6,1,,,,,,,,,,,,,,,,
working_student,8.284224852,6.262325966,1.620538963,54.95757805,6,7,10,0,,,,,,,,,,,,,,,,
college,6.775241223,5.350060877,1.678196015,77.53507971,3,5,6,0,,,,,,,,,,,,,,,,
school,6.458930766,2.654047586,2.301026733,96.15674858,9,5,7,1,,,,,,,,,,,,,,,,
college,5.524403367,6.084575293,0.602626889,90.3678172,7,10,1,1,,,,,,,,,,,,,,,,
working_student,6.530979837,5.423724146,3.502083875,68.61469481,7,3,2,1,,,,,,,,,,,,,,,,
college,7.702757613,4.719487607,4.026791127,77.14525048,6,7,8,0,,,,,,,,,,,,,,,,
college,7.197630098,0.552733813,0.843531375,89.03928572,1,4,1,0,,,,,,,,,,,,,,,,
school,7.06,4.7,2.86,79.23,4,6,10,0,,,,,,,,,,,,,,,,
school,7.115414262,5.788948744,2.656498739,83.30972341,4,7,3,0,,,,,,,,,,,,,,,,
college,5.572279261,4.078433989,0.666595981,81.943,4,6,1,0,,,,,,,,,,,,,,,,
college,5.69,4.7,4.61,86.77,3,9,12,0,,,,,,,,,,,,,,,,
college,7.685858915,1.893381452,1.728290962,65.20602728,5,4,6,0,,,,,,,,,,,,,,,,
school,8.540833319,3.381166151,2.90969205,88.70779396,4,3,11,0,,,,,,,,,,,,,,,,
school,6.239217732,4.532836395,2.214918701,86.7688793,4,7,4,0,,,,,,,,,,,,,,,,
college,7.498848745,4.601229385,3.55563,69.98235386,4,1,2,0,,,,,,,,,,,,,,,,
college,6.943171706,5.820853514,5.012937674,86.88306089,7,4,3,1,,,,,,,,,,,,,,,,
college,5.600132038,4.273775767,9.329193242,82.02555641,7,6,8,0,,,,,,,,,,,,,,,,
working_student,5.979102469,4.78673778,1.994978431,82.25546123,6,4,1,0,,,,,,,,,,,,,,,,
working_student,3.807870746,6.133667924,5.010053926,74.72968396,8,9,10,1,,,,,,,,,,,,,,,,
school,7.634175739,4.314663134,4.838618938,96.87833441,1,7,7,0,,,,,,,,,,,,,,,,
college,7.947676556,6.312288718,4.471162351,63.37358374,1,5,5,0,,,,,,,,,,,,,,,,
school,8.98420461,5.880910674,6.39579895,82.2573532,10,8,1,1,,,,,,,,,,,,,,,,
college,6.062412864,8.663225925,4.120398543,81.943,5,5,5,1,,,,,,,,,,,,,,,,
college,7.273056735,4.285662214,2.919715684,83.35792085,10,10,4,1,,,,,,,,,,,,,,,,
school,8.760813782,0.497274502,4.375926692,90.69525974,10,2,9,1,,,,,,,,,,,,,,,,
college,6.72568008,9.992296406,1.367978201,81.93272089,3,6,2,0,,,,,,,,,,,,,,,,
college,7.253428391,6.258758325,3.203869662,83.06434319,4,4,9,0,,,,,,,,,,,,,,,,
working_student,4.704918951,7.267516196,2.787545484,82.18236756,6,5,5,1,,,,,,,,,,,,,,,,
school,7.993820841,4.748629892,4.544785659,66.23568003,1,4,9,0,,,,,,,,,,,,,,,,
college,5.917345827,5.75728931,0.613383117,61.73639334,5,8,12,0,,,,,,,,,,,,,,,,
college,5.872135982,2.880216924,0.135900024,49.89935166,4,9,2,0,,,,,,,,,,,,,,,,
college,5.79,4.7,3.56,75.3,1,6,10,0,,,,,,,,,,,,,,,,
college,7.499586772,3.903603866,3.611410179,73.34085417,4,9,3,0,,,,,,,,,,,,,,,,
college,6.458930766,3.012987786,3.03930088,75.74867256,3,4,12,0,,,,,,,,,,,,,,,,
college,5.352904497,8.920611734,3.9780845,77.44220795,4,5,2,1,,,,,,,,,,,,,,,,
college,5.680713162,3.464494648,3.515930698,95.17435799,2,4,7,0,,,,,,,,,,,,,,,,
college,8.110853437,2.695178645,2.348660936,97.10843727,5,6,5,0,,,,,,,,,,,,,,,,
college,6.249309964,3.604658002,3.55563,81.65673602,2,7,4,0,,,,,,,,,,,,,,,,
college,6.650627464,10.4793495,4.549537108,72.94146472,6,7,10,0,,,,,,,,,,,,,,,,
college,4.095912955,3.341356305,3.527829243,54.31578553,4,4,5,0,,,,,,,,,,,,,,,,
school,7.687233145,2.229716879,5.399007908,81.943,7,2,8,0,,,,,,,,,,,,,,,,
college,4.124884407,7.028956318,5.328856946,92.45068908,2,7,7,0,,,,,,,,,,,,,,,,
school,5.474099707,2.724968466,4.222818092,98.22924462,7,7,9,1,,,,,,,,,,,,,,,,
college,7.853244636,0.99927182,6.337346465,64.4289473,6,3,2,1,,,,,,,,,,,,,,,,
working_student,4.927540922,4.319785043,2.99318979,97.47658164,10,1,4,1,,,,,,,,,,,,,,,,
college,7.47976365,4.452019409,3.881256152,95.54646991,8,8,12,1,,,,,,,,,,,,,,,,
college,8.25284481,5.284318828,8.958301574,78.81795729,4,4,8,0,,,,,,,,,,,,,,,,
Other,5.670834544,3.067150185,3.78720425,90.56387432,1,5,9,0,,,,,,,,,,,,,,,,
Other,7.18976587,7.952221699,4.427061157,51.69461196,5,6,11,0,,,,,,,,,,,,,,,,
working_student,6.458930766,4.111413418,0.99242947,85.88048534,1,3,1,0,,,,,,,,,,,,,,,,
college,7.167659972,5.185748915,3.594530769,76.76746007,6,7,7,0,,,,,,,,,,,,,,,,
college,4.76,4.7,5.41,95.82,2,5,12,0,,,,,,,,,,,,,,,,
Other,6.317134203,1.459742866,3.815953359,79.13958564,4,6,2,0,,,,,,,,,,,,,,,,
college,6.827641321,4.407282806,3.95049329,83.21111853,2,7,6,0,,,,,,,,,,,,,,,,
college,6.699867854,7.307090781,1.836585323,85.71558459,2,7,11,0,,,,,,,,,,,,,,,,
working_student,6.600411244,11.40467953,3.55563,90.37210575,6,5,5,0,,,,,,,,,,,,,,,,
school,8.571449325,0.602797514,5.552597324,67.09653308,10,4,6,1,,,,,,,,,,,,,,,,
school,8.067492767,4.937939512,1.804656102,65.23533972,2,8,1,0,,,,,,,,,,,,,,,,
college,6.458930766,7.303252936,5.276103938,99.08251106,8,6,12,1,,,,,,,,,,,,,,,,
school,7.174244559,2.637251009,4.053777904,83.01678159,2,6,1,0,,,,,,,,,,,,,,,,
college,8.22306857,5.521806165,2.573750834,96.71621299,3,7,12,0,,,,,,,,,,,,,,,,
Other,5.68806342,5.74377852,2.903819094,72.50446538,7,5,5,0,,,,,,,,,,,,,,,,
college,6.458930766,3.391814147,4.852505195,64.4056745,3,5,5,0,,,,,,,,,,,,,,,,
working_student,4.142226592,5.224900372,6.898533168,82.34872483,4,5,2,0,,,,,,,,,,,,,,,,
working_student,5.968041145,5.480147081,0.636993518,94.1447834,7,5,1,1,,,,,,,,,,,,,,,,
college,4.622719958,3.395875202,1.641500034,69.61284874,6,10,11,0,,,,,,,,,,,,,,,,
college,4.297629687,4.857886002,0.126392118,98.05904416,1,6,6,0,,,,,,,,,,,,,,,,
working_student,6.815126578,10.35046776,2.148400591,53.82305407,1,5,12,0,,,,,,,,,,,,,,,,
college,5.520147944,2.851083718,2.533433211,99.18411606,3,6,10,0,,,,,,,,,,,,,,,,
school,9.17372188,3.125552067,3.55563,83.86327218,5,9,3,0,,,,,,,,,,,,,,,,
school,6.77811801,1.551882535,3.239733857,83.53052379,6,1,3,0,,,,,,,,,,,,,,,,
college,6.458930766,5.470232201,5.37838008,70.72941389,4,3,6,0,,,,,,,,,,,,,,,,
school,7.598995812,3.397487809,3.901679677,81.85082377,7,6,5,1,,,,,,,,,,,,,,,,
college,7.359372875,3.515396715,2.095986647,91.85313476,2,3,2,0,,,,,,,,,,,,,,,,
working_student,5.344603656,5.574852029,3.55563,88.4993048,2,5,6,0,,,,,,,,,,,,,,,,
college,5.858711711,6.572372949,2.901947455,86.00040164,4,6,8,0,,,,,,,,,,,,,,,,
working_student,3.901857985,5.991524254,2.032716691,89.62108445,1,5,8,0,,,,,,,,,,,,,,,,
college,5.67,4.7,0.88,92.34,5,4,11,0,,,,,,,,,,,,,,,,
college,8.57357368,3.604827351,6.116210684,87.53263234,9,7,8,1,,,,,,,,,,,,,,,,
college,4.186356197,4.106662967,4.54375978,70.88540442,5,7,9,0,,,,,,,,,,,,,,,,
college,4.71890959,3.150986564,0.771711497,73.26354812,6,5,2,1,,,,,,,,,,,,,,,,
working_student,4.54,4.7,3.56,96,9,9,5,1,,,,,,,,,,,,,,,,
working_student,6.401763275,6.329790925,0.786680475,87.13536929,1,7,2,0,,,,,,,,,,,,,,,,
college,6.170439651,2.098284638,8.443588419,95.16352638,7,8,9,0,,,,,,,,,,,,,,,,
working_student,5.042754623,6.3108032,3.677992267,75.16668345,1,6,4,0,,,,,,,,,,,,,,,,
college,8.411018731,4.31347567,1.272055683,70.39984822,6,9,11,0,,,,,,,,,,,,,,,,
Other,7.639408925,3.028226205,1.093287223,69.33443176,9,3,11,0,,,,,,,,,,,,,,,,
college,5.384824779,8.395660114,4.138535042,92.85626084,9,5,2,1,,,,,,,,,,,,,,,,
college,5.672969084,4.577280593,0.715815405,75.96792544,5,6,1,0,,,,,,,,,,,,,,,,
college,7.853611171,5.973522585,5.263308925,84.22856938,8,6,8,1,,,,,,,,,,,,,,,,
school,8.62946749,4.378799511,4.566638681,97.26383388,7,9,10,0,,,,,,,,,,,,,,,,
college,7.302989793,5.156047214,7.202308124,81.943,6,8,5,0,,,,,,,,,,,,,,,,
school,9.379182052,3.665415274,6.052958928,77.53932134,8,6,3,1,,,,,,,,,,,,,,,,
school,8.100518298,2.189242716,3.505126094,76.59701076,5,3,2,0,,,,,,,,,,,,,,,,
school,6.080948492,2.746320355,6.141238521,97.91076228,9,5,12,1,,,,,,,,,,,,,,,,
college,4.989369035,8.484482948,4.047161645,74.01482884,7,3,2,0,,,,,,,,,,,,,,,,
school,7.56490494,1.61238081,3.157458545,76.50619291,3,6,2,0,,,,,,,,,,,,,,,,
working_student,6.092267346,9.079459281,4.378891501,82.4068913,1,5,1,0,,,,,,,,,,,,,,,,
college,5.901020429,4.541006192,5.706421579,72.52945265,7,9,6,1,,,,,,,,,,,,,,,,
school,8.786395166,4.600179736,8.44218594,93.79488691,3,6,7,0,,,,,,,,,,,,,,,,
college,3.93,4.7,4.63,89.44,7,4,1,0,,,,,,,,,,,,,,,,
college,4.978929728,6.449180108,3.55563,92.13804894,7,9,4,1,,,,,,,,,,,,,,,,
working_student,5.026471627,6.212826504,2.877351719,74.79177898,6,8,8,1,,,,,,,,,,,,,,,,
college,7.89635622,5.135542207,1.205409931,90.67333003,8,5,9,0,,,,,,,,,,,,,,,,
college,6.458930766,5.46573713,5.428214914,73.68588397,9,3,6,1,,,,,,,,,,,,,,,,
working_student,5.420518736,9.570267906,6.161789169,80.73432981,5,8,9,0,,,,,,,,,,,,,,,,
college,8.866150255,2.078495162,5.647040461,96.6233495,2,7,7,0,,,,,,,,,,,,,,,,
college,6.68651276,4.082135438,3.55563,67.80278408,6,5,8,0,,,,,,,,,,,,,,,,
school,7.902097176,2.248227548,4.470911761,82.14008947,4,4,8,0,,,,,,,,,,,,,,,,
Other,6.458930766,5.16489147,2.039356932,96.24003492,1,7,5,0,,,,,,,,,,,,,,,,
working_student,4.6,4.7,5.42,82.26,5,8,7,0,,,,,,,,,,,,,,,,
school,7.226369449,2.723077869,4.645007346,63.87924979,5,7,4,1,,,,,,,,,,,,,,,,
working_student,6.536171716,3.818628226,6.14116799,81.943,1,4,2,0,,,,,,,,,,,,,,,,
college,8.465668606,2.230994293,3.807633524,84.20437527,5,3,6,0,,,,,,,,,,,,,,,,
college,5.316893501,5.542750288,2.126587227,95.33684458,9,10,11,1,,,,,,,,,,,,,,,,
college,5.192510523,3.315409627,4.316499089,73.0773503,6,6,3,0,,,,,,,,,,,,,,,,
college,3.617847495,5.126483095,5.701043174,81.943,7,6,5,0,,,,,,,,,,,,,,,,
school,8.015473673,4.877472195,3.931026018,57.25190545,6,5,5,1,,,,,,,,,,,,,,,,
school,7.105666488,2.598796272,6.114952151,80.74547533,1,1,5,0,,,,,,,,,,,,,,,,
college,6.30513716,4.810670026,4.524654414,82.36617827,6,7,11,0,,,,,,,,,,,,,,,,
working_student,3.69980363,8.097239343,3.55563,78.19596893,6,4,4,1,,,,,,,,,,,,,,,,
school,6.458930766,1.539091617,2.375358592,78.7238522,6,1,10,0,,,,,,,,,,,,,,,,
working_student,6.311376209,5.576721719,5.070162626,81.45542379,1,3,4,0,,,,,,,,,,,,,,,,
college,9.467015184,2.60313604,6.301293374,84.63703546,7,8,8,0,,,,,,,,,,,,,,,,
school,7.226523019,3.278184097,3.134093208,91.48602878,5,8,2,0,,,,,,,,,,,,,,,,
college,4.723398861,6.62272683,2.291670866,91.19243577,7,6,9,0,,,,,,,,,,,,,,,,
college,5.935691597,4.036388104,3.146092367,75.93481634,5,6,2,0,,,,,,,,,,,,,,,,
college,6.19,4.7,2.7,71.23,4,6,7,0,,,,,,,,,,,,,,,,
working_student,6.529110022,3.935328216,2.280007339,82.54923937,3,4,10,0,,,,,,,,,,,,,,,,
Other,6.715882489,3.179204934,2.610601041,85.500726,9,5,12,0,,,,,,,,,,,,,,,,
college,7.08959248,4.827023415,3.576520128,74.71402309,5,3,2,0,,,,,,,,,,,,,,,,
school,5.057117196,5.396124159,7.461613904,70.10971187,6,7,3,1,,,,,,,,,,,,,,,,
college,7.983631284,6.288567957,0.403477635,81.0981406,5,3,1,0,,,,,,,,,,,,,,,,
college,6.666974034,1.643811481,2.424178817,87.01345376,8,5,9,0,,,,,,,,,,,,,,,,
college,6.74690733,5.532205207,1.385348394,96.95525128,6,7,2,0,,,,,,,,,,,,,,,,
school,9.272550908,3.157368707,5.47312539,74.24399737,7,8,9,0,,,,,,,,,,,,,,,,
college,5.097842795,3.835314378,6.859401548,74.09745972,3,6,10,0,,,,,,,,,,,,,,,,
school,8.626030057,3.093297408,4.367093957,67.16508659,1,5,2,0,,,,,,,,,,,,,,,,
working_student,8.674319508,7.492897252,3.27023354,82.06195931,2,3,9,0,,,,,,,,,,,,,,,,
college,6.106916906,4.878449897,5.942190389,73.79977662,7,1,9,0,,,,,,,,,,,,,,,,
college,9.03295426,1.752123571,0.966326839,81.943,8,4,6,0,,,,,,,,,,,,,,,,
college,5.084120936,2.335917264,1.71118326,86.22579667,8,9,8,0,,,,,,,,,,,,,,,,
college,6.705667128,0.62395301,6.722977019,79.16788749,5,5,2,0,,,,,,,,,,,,,,,,
college,7.653526951,5.985116877,1.988321487,70.77115147,7,3,6,0,,,,,,,,,,,,,,,,
college,7.55287046,3.493385488,1.411742919,88.82252869,10,4,9,1,,,,,,,,,,,,,,,,
college,6.304397297,6.990194216,7.0150696,85.26797961,4,6,7,0,,,,,,,,,,,,,,,,
college,5.348400757,7.359566529,6.335753756,91.98470076,6,7,9,0,,,,,,,,,,,,,,,,
school,8.344080946,2.211974323,2.392163599,63.48414389,5,8,3,0,,,,,,,,,,,,,,,,
college,6.37,4.7,3.56,69.04,5,9,6,0,,,,,,,,,,,,,,,,
Other,6.718253042,9.289590441,5.425176428,73.35774386,7,6,1,1,,,,,,,,,,,,,,,,
school,6.849923457,0.758904709,3.727348587,95.50257062,5,6,8,0,,,,,,,,,,,,,,,,
working_student,6.511888972,6.929078164,7.012475378,74.91268111,5,9,11,0,,,,,,,,,,,,,,,,
college,9.480257446,5.13802089,3.377832578,90.11447418,1,8,1,0,,,,,,,,,,,,,,,,
school,7.673634474,1.943113584,1.416804522,80.05316812,6,5,5,0,,,,,,,,,,,,,,,,
working_student,6.648978631,5.546043297,3.473393358,79.20197099,1,5,6,0,,,,,,,,,,,,,,,,
college,5.355705293,4.206581547,5.955084875,82.00115376,2,8,11,0,,,,,,,,,,,,,,,,
